id,birth_year,vocation,sun_deg,moon_deg,mercury_deg,venus_deg,mars_deg,jupiter_deg,saturn_deg,uranus_deg,neptune_deg,pluto_deg,aspects
26,1995,Engineer,41.8034,84.528,43.906,31.1134,133.5641,341.7771,250.7342,194.4693,211.4425,261.5757,Sun conj Mercury; Sun sq Mars; Mercury sq Mars; Jupiter sq Saturn
27,1993,Scientist,235.7719,300.1295,242.2484,277.921,100.7065,248.501,78.2171,160.0905,85.0005,130.567,Sun conj Mercury; Mercury conj Jupiter; Venus opp Mars
28,1991,Scientist,196.0077,352.0233,188.0934,186.2291,68.3311,43.9775,305.2919,163.6983,238.5967,231.0136,Sun conj Mercury; Mercury conj Venus
29,1999,Scientist,349.5936,355.9755,5.6644,321.2933,298.7344,199.5148,211.0979,292.6991,83.8795,278.7727,Sun conj Moon; Mars sq Saturn
30,1999,Engineer,1.0208,52.0877,340.3004,337.0836,62.819,237.9808,9.2809,5.3497,284.3945,85.6554,Moon opp Jupiter; Mercury conj Venus; Venus sq Mars; Mars opp Jupiter
31,1990,Engineer,5.6812,95.5323,344.7797,358.0934,40.9138,22.8809,161.3791,130.334,213.7198,162.722,Sun sq Moon; Sun conj Venus; Mercury opp Saturn
32,1987,Physician,340.3496,281.9617,0.9006,342.4089,164.8953,347.0494,21.8971,172.4335,144.5822,246.9951,Sun conj Venus; Sun opp Mars; Sun conj Jupiter; Venus opp Mars; Venus conj Jupiter; Mars opp Jupiter
33,1995,Physician,256.4645,159.6824,278.8234,239.3872,53.4002,45.429,224.7543,210.7313,256.375,137.1256,Venus opp Mars; Mars conj Jupiter; Jupiter opp Saturn
34,1999,Engineer,191.0005,163.3376,196.9044,152.5216,252.6406,307.0054,234.33,276.8266,259.5024,77.4083,Sun conj Mercury; Moon sq Mars
35,1994,Scientist,319.7128,148.9729,338.0482,309.9909,262.6605,112.5174,112.5085,91.7603,343.2933,247.2556,Jupiter conj Saturn
36,1995,Physician,24.168,33.5628,1.5756,47.0924,292.2369,200.2935,211.1274,202.1711,118.6726,44.0033,Sun sq Mars; Sun opp Jupiter; Sun opp Saturn; Moon opp Saturn; Mars sq Jupiter
37,1991,Engineer,314.4987,338.8068,310.1831,354.4196,18.5206,103.5466,112.4816,37.2962,182.6685,55.7029,Sun conj Mercury; Mars sq Jupiter; Mars sq Saturn
38,1995,Scientist,80.7282,38.9586,100.0691,68.014,274.538,206.676,290.5997,304.2559,350.8368,294.6337,Mercury opp Mars
39,1999,Engineer,242.9916,200.4263,249.0953,258.1434,249.6496,10.4231,98.3773,274.4674,331.7535,126.3684,Sun conj Mercury; Sun conj Mars; Mercury conj Mars; Jupiter sq Saturn
40,1985,Scientist,313.1506,203.8756,307.5945,278.7705,227.9419,11.0366,268.6002,77.4478,151.1397,122.7226,Sun conj Mercury; Sun sq Mars; Venus sq Jupiter
41,1991,Scientist,112.1895,116.7778,136.9083,121.4269,318.0032,56.0088,271.5969,17.9145,29.3693,159.5207,Sun conj Moon; Moon conj Venus; Mercury opp Mars
42,1993,Scientist,174.8382,159.1359,162.1356,199.3128,40.9743,154.7689,101.9687,244.2551,175.1878,240.1677,Moon conj Mercury; Moon conj Jupiter; Mercury conj Jupiter
43,1981,Pilot,79.3866,19.7215,62.8343,122.1377,276.2458,275.0979,104.201,43.1944,179.0587,155.0358,Moon sq Saturn; Mars conj Jupiter; Mars opp Saturn
44,1984,Scientist,136.8747,253.3217,136.8894,168.8767,290.2321,25.9472,310.2352,15.2288,6.747,331.6185,Sun conj Mercury; Sun opp Saturn; Moon sq Venus; Mercury opp Saturn; Mars sq Jupiter
45,1990,Pilot,207.2733,206.4239,219.0052,199.3719,41.4624,7.5084,116.9165,288.476,222.5251,299.5293,Sun conj Moon; Sun conj Venus; Sun sq Saturn; Moon conj Venus; Moon sq Saturn; Mercury opp Mars
46,1991,Scientist,31.7268,87.5939,36.7035,34.0272,142.476,111.6988,122.2248,119.9047,60.5278,183.774,Sun conj Mercury; Sun conj Venus; Sun sq Saturn; Mercury conj Venus; Mercury sq Saturn; Venus sq Saturn
47,1983,Scientist,191.0177,69.8053,206.4865,176.7233,344.9604,232.3595,53.1683,37.0096,92.1486,62.4596,Moon sq Mars; Jupiter opp Saturn
48,1984,Engineer,273.6775,235.9832,255.5977,299.8709,177.8821,271.6005,273.5558,161.6059,332.6955,203.217,Sun sq Mars; Sun conj Jupiter; Sun conj Saturn; Mars sq Jupiter; Mars sq Saturn; Jupiter conj Saturn
49,2000,Engineer,355.1515,349.5503,344.8553,349.3687,168.8116,227.2986,286.6787,212.9111,126.6992,26.7086,Sun conj Moon; Sun conj Venus; Sun opp Mars; Moon conj Mercury; Moon conj Venus; Moon opp Mars; Mercury conj Venus; Mercury opp Mars; Venus opp Mars
50,1994,Engineer,162.689,20.4804,181.264,122.0552,311.13,307.9056,221.403,182.5444,166.5762,199.5539,Venus opp Jupiter; Mars conj Jupiter; Mars sq Saturn; Jupiter sq Saturn
51,1981,Scientist,161.9041,291.5337,170.407,144.7707,171.2265,54.31,22.2745,37.2607,323.6857,123.6376,Moon sq Saturn; Mercury conj Mars; Venus sq Jupiter
52,1982,Engineer,181.6376,62.1212,167.5113,175.6624,158.1918,188.1893,57.1486,134.2267,101.8417,147.157,Sun conj Venus; Sun conj Jupiter; Moon conj Saturn
53,1990,Pilot,244.4032,227.1192,235.1435,228.0535,200.8668,139.1631,90.7185,306.5639,347.1876,216.9723,Moon conj Venus; Moon sq Jupiter; Mercury conj Venus; Mercury sq Jupiter; Venus sq Jupiter
54,1984,Engineer,120.0103,209.7862,99.9303,105.5931,348.3707,251.4528,141.1049,214.2148,337.6808,111.4495,Sun sq Moon; Mercury conj Venus
55,1992,Pilot,231.6576,118.2516,210.814,251.1293,340.9591,358.9791,328.4813,33.6431,241.3642,183.0559,Moon sq Mercury; Venus sq Mars
56,1980,Scientist,130.5352,64.8947,114.5299,173.5113,175.0575,81.5555,49.5235,27.7794,303.9942,36.4107,Venus conj Mars; Venus sq Jupiter; Mars sq Jupiter
57,1997,Scientist,300.6431,318.1256,274.757,284.9725,275.8707,47.1777,135.6192,58.409,299.2842,277.5952,Moon sq Jupiter; Moon opp Saturn; Mercury conj Mars; Jupiter sq Saturn
58,1985,Engineer,259.6259,131.1478,271.9227,304.7064,219.8144,270.8608,282.1681,84.2411,86.1007,347.6148,Moon opp Venus; Moon sq Mars; Mercury conj Jupiter; Venus sq Mars
59,1995,Pilot,325.4308,244.1905,329.3742,319.7281,276.9979,280.1247,181.0464,150.7179,58.3409,71.8912,Sun conj Mercury; Sun conj Venus; Moon sq Mercury; Mars conj Jupiter; Mars sq Saturn
60,1999,Pilot,49.8235,90.0012,57.7295,85.7387,199.6347,36.9323,304.5212,306.4198,102.6227,274.7221,Sun conj Mercury; Moon conj Venus; Jupiter sq Saturn
61,1988,Physician,161.7549,184.807,180.2935,122.5594,327.7818,294.0132,318.4667,334.9699,149.3629,142.7234,Moon conj Mercury
62,1991,Engineer,84.8801,134.9686,58.4586,126.2394,302.1035,233.9858,284.897,49.5359,103.2766,298.7142,Mercury opp Jupiter; Venus opp Mars
63,1984,Pilot,273.1828,168.8796,279.6423,312.1451,6.8414,77.6357,53.8271,338.4813,219.1968,152.3717,Sun conj Mercury; Sun sq Mars; Moon sq Jupiter; Mercury sq Mars
64,1989,Scientist,85.5505,43.8654,70.9031,98.8898,224.2118,22.6106,301.2076,179.9385,192.9794,227.5038,Moon opp Mars
65,1998,Pilot,87.0977,51.6877,83.1351,98.1194,86.6031,149.9643,239.1737,30.821,350.8756,24.3646,Sun conj Mercury; Sun conj Mars; Moon opp Saturn; Mercury conj Mars; Jupiter sq Saturn
66,1996,Engineer,195.8695,283.1084,196.2964,149.8216,314.3993,15.6724,139.2773,134.3889,269.034,128.5538,Sun sq Moon; Sun conj Mercury; Sun opp Jupiter; Moon sq Mercury; Moon sq Jupiter; Mercury opp Jupiter; Mars opp Saturn
67,1982,Engineer,124.1289,263.8588,131.3113,150.193,264.6673,119.7067,15.9608,196.5649,292.8632,63.0321,Sun conj Mercury; Sun conj Jupiter; Moon conj Mars
68,1994,Engineer,353.0949,257.7762,17.9368,308.6454,72.5728,284.7993,318.8845,113.6145,111.6273,143.3607,Sun sq Moon; Moon opp Mars; Mercury sq Jupiter
69,1997,Engineer,170.4239,13.1835,178.6503,149.8906,310.3699,17.2095,236.0633,98.358,287.7633,157.3025,Moon conj Jupiter; Venus sq Saturn
70,1992,Engineer,267.5908,322.0695,261.2429,313.0682,178.6332,179.1084,332.7518,186.9393,288.4133,261.7493,Sun conj Mercury; Sun sq Mars; Sun sq Jupiter; Mars conj Jupiter
71,1982,Pilot,155.0186,64.9643,143.4695,116.868,118.0512,106.4304,160.5297,258.3586,59.9921,159.807,Sun sq Moon; Sun conj Saturn; Moon sq Saturn; Venus conj Mars
72,1994,Pilot,15.2479,126.9214,43.1443,353.6052,352.8098,341.2456,27.0148,229.5045,130.792,288.3946,Venus conj Mars
73,1985,Scientist,343.0042,218.7262,358.7577,298.3449,24.204,280.2655,131.8783,137.8276,204.2081,217.8341,Moon sq Saturn; Venus sq Mars
74,1994,Engineer,341.5765,274.7104,345.7161,344.4046,143.2923,233.8419,89.8602,40.8415,264.8429,179.6558,Sun conj Mercury; Sun conj Venus; Moon opp Saturn; Mercury conj Venus; Mars sq Jupiter
75,1992,Physician,328.8753,278.9872,340.3014,301.4741,220.2758,249.833,359.5064,72.0642,48.8622,26.6587,Mercury sq Jupiter
76,1985,Engineer,323.5245,160.24,300.4407,340.9897,304.3876,115.0516,125.0731,23.3781,195.1817,320.8794,Moon opp Venus; Mercury conj Mars; Mercury opp Jupiter; Mercury opp Saturn; Mars opp Saturn
77,1985,Pilot,256.2513,333.8368,263.9625,284.4461,183.1521,43.6905,72.3529,49.9957,284.5343,9.4622,Sun conj Mercury; Sun opp Saturn
78,1997,Pilot,206.0199,168.2661,233.0685,170.4779,318.3287,23.6693,143.3376,258.0961,172.3194,147.8862,Sun opp Jupiter; Moon conj Venus; Mercury sq Mars; Mercury sq Saturn; Mars opp Saturn
79,1993,Engineer,296.4022,350.0567,304.3731,291.5997,244.8392,124.0253,316.0657,280.8947,230.3258,65.5067,Sun conj Mercury; Sun conj Venus; Sun opp Jupiter; Mercury opp Jupiter
80,1984,Pilot,155.7426,327.8564,130.8457,119.6621,55.0856,59.2765,116.1579,255.3596,124.5683,338.7255,Sun opp Moon; Moon sq Mars; Moon sq Jupiter; Venus conj Saturn; Mars conj Jupiter
81,1989,Engineer,304.5361,228.6206,307.3833,268.5525,109.0169,192.0521,180.9263,60.7089,338.9785,55.5099,Sun conj Mercury; Venus sq Saturn
82,1999,Pilot,259.4278,217.85,278.6095,265.5351,297.0851,10.2145,16.3662,230.9233,207.6376,234.4068,Sun conj Venus; Mercury sq Jupiter; Jupiter conj Saturn
83,1998,Engineer,149.9712,230.0368,149.8614,162.179,104.2818,344.3941,173.8601,289.6877,246.5967,107.0762,Sun conj Mercury; Venus opp Jupiter
84,1982,Engineer,247.9009,149.6238,245.9096,232.5594,51.7207,310.1346,114.9539,355.6884,124.3334,143.538,Sun conj Mercury; Venus opp Mars
85,1991,Scientist,185.3928,38.2262,170.9302,149.155,161.8546,50.7159,18.2179,340.3386,311.099,150.5285,
86,1985,Engineer,292.852,336.1506,305.2352,263.0761,57.3633,358.549,168.0534,316.4672,179.0533,32.4177,Venus sq Jupiter; Venus sq Saturn
87,1992,Pilot,181.96,348.0072,166.0081,167.8379,18.1945,178.1619,317.6422,235.5336,169.4113,193.2087,Sun conj Jupiter; Moon opp Mercury; Moon opp Venus; Mercury conj Venus
88,1983,Engineer,155.134,317.6841,167.8744,180.4642,131.7374,144.2094,205.3014,70.0759,199.1603,26.4714,Moon opp Mars; Moon opp Jupiter
89,1996,Engineer,162.1276,197.9486,180.345,173.9588,219.9755,46.3188,34.8053,134.3514,355.2436,200.8195,Mercury conj Venus; Mars opp Jupiter; Mars opp Saturn
90,1991,Pilot,271.7875,183.2841,271.7918,228.1366,49.3331,119.8947,170.5479,164.5159,218.2538,185.5821,Sun sq Moon; Sun conj Mercury; Moon sq Mercury; Venus opp Mars
91,1990,Engineer,335.2927,221.9402,354.4785,344.2903,182.6334,183.4971,176.3448,202.6527,170.9613,5.9893,Mercury opp Saturn; Mars conj Jupiter; Mars conj Saturn; Jupiter conj Saturn
92,1990,Engineer,242.5703,352.7633,247.2576,271.0588,261.1167,247.6957,9.593,170.8525,348.1455,281.8454,Sun conj Mercury; Sun conj Jupiter; Moon sq Mars; Mercury conj Jupiter
93,1998,Engineer,207.9484,259.704,212.6257,176.3175,226.4491,223.1049,302.8202,53.1993,245.0617,11.3654,Sun conj Mercury; Sun sq Saturn; Mercury sq Saturn; Mars conj Jupiter
94,1983,Engineer,68.6824,158.7739,64.1341,60.3265,73.401,180.655,220.1321,169.778,305.4157,261.8648,Sun sq Moon; Sun conj Mercury; Sun conj Mars; Moon sq Mercury; Moon sq Mars; Mercury conj Venus
95,1984,Engineer,186.726,201.9192,214.6208,184.6496,135.6569,344.4068,165.4789,191.9257,196.6584,243.3127,Sun conj Venus; Jupiter opp Saturn
96,2000,Physician,289.3149,174.3048,314.9258,268.0995,107.4597,338.9348,353.6137,277.6227,253.7643,248.4864,Sun opp Mars; Moon sq Venus; Moon opp Saturn; Venus sq Saturn
97,1995,Engineer,114.1347,125.5691,138.4219,142.4936,98.4447,43.8747,243.584,136.6899,352.8578,294.6159,Mercury conj Venus; Mercury sq Jupiter
98,1984,Physician,104.563,103.5469,116.5549,89.8139,159.2554,92.3198,172.4685,72.7445,193.8881,335.8886,Sun conj Moon; Venus conj Jupiter
99,1988,Scientist,49.4183,221.6437,54.2808,24.6942,241.1402,191.1749,229.66,18.8968,148.7885,258.2489,Sun opp Moon; Sun conj Mercury; Sun opp Saturn; Mercury opp Mars; Mercury opp Saturn
100,1983,Scientist,245.2291,347.2268,271.9921,212.3915,235.0414,317.0331,171.2519,234.1939,272.128,103.4082,Moon opp Saturn
101,1989,Pilot,232.5233,326.8573,209.5331,239.6401,192.6548,260.3224,337.201,328.7627,63.0233,317.6082,Sun sq Moon; Sun conj Venus; Moon sq Venus
102,1985,Engineer,336.2121,301.0332,352.3379,306.0981,269.6412,314.0246,104.2081,13.4878,107.4212,217.0019,Moon conj Venus; Venus conj Jupiter
103,1990,Engineer,102.4422,195.5882,102.1013,144.544,306.3815,168.4875,69.4121,40.5528,58.4979,165.2092,Sun sq Moon; Sun conj Mercury; Moon sq Mercury
104,1988,Engineer,258.6953,121.3604,247.2167,275.4379,69.5381,219.9436,229.9413,145.9765,153.9732,118.0536,Mercury opp Mars
105,1992,Scientist,240.9321,66.5212,220.8064,223.9979,89.297,93.8827,84.7877,271.3524,343.4525,108.7005,Sun opp Moon; Mercury conj Venus; Mars conj Jupiter; Mars conj Saturn
106,1998,Engineer,4.1169,22.3648,342.7375,345.5703,145.95,180.9074,322.2426,253.2805,111.9521,42.2697,Sun opp Jupiter; Mercury conj Venus; Mars opp Saturn
107,1989,Engineer,132.3158,79.5057,157.928,130.2213,163.7923,355.9817,134.5049,252.6987,328.6069,272.6462,Sun conj Venus; Sun conj Saturn; Moon sq Mars; Mercury conj Mars; Venus conj Saturn
108,1986,Pilot,274.2695,244.9231,279.6351,301.857,189.1824,190.1423,130.2426,330.2081,40.3952,298.3587,Sun conj Mercury; Sun sq Mars; Sun sq Jupiter; Mercury sq Mars; Mercury sq Jupiter; Mars conj Jupiter
109,1996,Engineer,72.7764,193.1977,53.9905,106.8071,159.0626,244.9063,258.0905,175.9781,323.6002,160.3738,Sun sq Mars; Sun opp Jupiter; Sun opp Saturn; Moon sq Venus; Mars sq Jupiter
110,1981,Engineer,163.2356,184.7692,160.8163,120.7784,166.4562,290.4895,260.3808,142.5415,293.9232,268.4896,Sun conj Mercury; Sun conj Mars; Mercury conj Mars; Mars sq Saturn
111,1998,Engineer,26.2906,152.5311,37.5122,30.2423,21.692,321.9186,355.0094,169.9456,103.3527,64.7933,Sun conj Venus; Sun conj Mars; Mercury conj Venus
112,1984,Engineer,275.698,352.2,283.8673,268.0527,357.4284,137.6927,313.0633,326.4362,135.2324,245.7829,Sun conj Venus; Moon sq Venus; Moon conj Mars; Venus sq Mars; Jupiter opp Saturn
113,1997,Engineer,47.8763,42.7079,75.4757,37.61,45.845,352.3408,300.5358,272.2246,352.2566,166.6814,Sun conj Moon; Sun conj Mars; Moon conj Venus; Moon conj Mars
114,1997,Scientist,152.6861,136.5395,137.5473,148.9061,55.8437,67.853,315.0749,275.5764,11.5982,237.6712,Sun conj Venus; Sun sq Jupiter; Moon conj Mercury; Moon opp Saturn; Mercury opp Saturn; Venus sq Mars
115,1999,Engineer,275.7792,318.1524,248.6554,247.5631,36.3228,12.0875,215.2026,253.1831,17.5235,266.5948,Mercury conj Venus; Mars opp Saturn
116,1992,Engineer,158.0266,194.3135,172.2722,184.5287,50.4488,357.654,84.2981,329.9029,207.3997,207.8909,Mercury opp Jupiter; Mercury sq Saturn; Venus opp Jupiter; Jupiter sq Saturn
117,1990,Scientist,85.2855,187.6504,80.4448,63.7002,200.4185,213.0002,264.6764,63.0479,244.35,200.1062,Sun conj Mercury; Sun opp Saturn; Mercury opp Saturn
118,1981,Engineer,350.0245,338.9711,359.6197,17.4617,114.7444,149.8769,53.7183,135.5257,271.5898,170.4668,
119,1987,Scientist,108.2651,254.7276,125.3886,148.0803,202.4589,348.403,200.6232,48.2734,87.4291,73.2012,Sun sq Mars; Sun sq Saturn; Moon sq Jupiter; Mars conj Saturn
120,2000,Engineer,28.4654,161.9233,21.2457,31.8864,298.5863,18.5532,135.7805,217.789,14.2371,26.2024,Sun conj Mercury; Sun conj Venus; Sun sq Mars; Mercury conj Jupiter; Venus sq Mars
121,1998,Engineer,260.7499,201.1862,259.596,296.2194,119.8672,344.5271,5.5201,337.3775,346.3479,42.2338,Sun conj Mercury; Moon sq Venus; Mercury sq Jupiter; Venus opp Mars
122,1995,Scientist,329.1989,250.4255,340.6099,319.2755,86.1591,115.7814,101.9013,167.8502,233.5397,111.032,Moon sq Mercury
123,1991,Physician,184.614,179.0198,162.136,230.8205,169.0166,302.3032,329.159,133.4538,149.0149,202.5089,Sun conj Moon; Mercury conj Mars
124,1987,Pilot,266.8509,199.1922,271.5566,287.972,106.2692,70.629,82.8067,205.1242,88.4628,198.2313,Sun conj Mercury; Sun opp Saturn; Moon sq Venus; Moon sq Mars; Venus opp Mars
125,1990,Engineer,92.6376,231.01,92.111,60.7881,286.1912,60.9357,259.3129,175.7939,330.0838,195.1693,Sun conj Mercury; Venus conj Jupiter
126,2000,Engineer,344.6053,188.62,3.5931,303.741,294.4785,17.4652,2.2982,49.497,227.0526,24.4685,Moon opp Mercury; Moon opp Saturn; Mercury conj Saturn
127,1984,Engineer,3.2909,182.0639,356.1902,14.6031,240.0317,221.947,173.9535,175.6276,2.3804,198.5917,Sun opp Moon; Sun conj Mercury; Moon opp Mercury; Mercury opp Saturn
128,1980,Scientist,6.0214,103.2079,6.1455,25.0159,155.0064,338.2963,64.5361,330.4976,188.7787,86.7488,Sun conj Mercury; Mars opp Jupiter; Mars sq Saturn; Jupiter sq Saturn
129,1999,Engineer,189.5242,293.4772,176.4943,179.6262,134.2986,146.1699,203.4008,356.4839,81.3086,246.255,Moon sq Saturn; Mercury conj Venus
130,1982,Scientist,235.3449,308.9589,249.8817,196.3209,136.535,198.9725,20.2014,3.4021,61.6981,179.949,Moon opp Mars; Venus conj Jupiter; Venus opp Saturn; Jupiter opp Saturn
131,1993,Engineer,232.1666,119.2574,258.897,277.6552,322.1248,330.8948,82.7159,324.4583,249.2236,204.0423,Sun sq Mars; Mercury opp Saturn
132,1988,Pilot,16.7623,26.7653,40.5951,55.0962,202.8636,11.8446,334.3559,113.2145,346.1289,211.333,Sun opp Mars; Sun conj Jupiter; Moon opp Mars
133,1992,Scientist,334.395,203.025,338.13,7.9415,243.7326,194.6025,138.1846,266.3083,284.5793,248.1518,Sun conj Mercury; Sun sq Mars; Mercury sq Mars; Venus opp Jupiter
134,1982,Pilot,180.2854,350.7564,155.2924,174.2459,301.9229,122.6134,276.842,343.749,142.8131,278.4798,Sun conj Venus; Moon opp Venus; Mars opp Jupiter
135,1980,Pilot,228.2843,282.0773,225.5151,202.1855,199.0936,135.1537,66.8656,210.915,136.8262,277.9803,Sun conj Mercury; Sun sq Jupiter; Mercury sq Jupiter; Venus conj Mars
136,1989,Pilot,287.2999,256.7191,263.894,254.1051,256.2038,228.2043,266.2759,114.0042,38.3583,1.8703,Moon conj Mercury; Moon conj Venus; Moon conj Mars; Mercury conj Mars; Mercury conj Saturn; Venus conj Mars
137,1989,Scientist,160.1049,274.0847,137.8299,120.4854,155.1526,200.5146,184.4787,37.1855,32.2628,199.5191,Sun conj Mars; Moon sq Saturn
138,1999,Scientist,215.2958,116.7949,208.8691,195.3131,139.6078,30.4918,324.409,325.8747,352.1423,205.9058,Sun conj Mercury; Sun opp Jupiter; Moon sq Mercury; Moon sq Jupiter; Mercury opp Jupiter; Mars opp Saturn
139,1985,Physician,246.7138,96.8108,233.7445,212.7235,60.1947,99.3463,107.9108,281.76,130.005,339.92,Sun opp Mars; Moon conj Jupiter; Mercury opp Mars
140,2000,Engineer,178.4889,222.0008,176.1291,143.4959,2.4363,142.4491,302.9808,136.7604,310.3914,158.4803,Sun conj Mercury; Sun opp Mars; Mercury opp Mars; Venus conj Jupiter
141,1993,Engineer,293.5712,309.423,320.1278,258.6391,115.4395,341.0204,72.3065,113.106,347.2469,348.7411,Sun opp Mars; Venus opp Saturn; Jupiter sq Saturn
142,1989,Engineer,264.5548,227.8449,290.7495,291.6243,117.319,100.9081,282.912,131.4056,335.5442,71.928,Mercury conj Venus; Mercury opp Mars; Mercury conj Saturn; Venus opp Mars; Jupiter opp Saturn
143,1997,Engineer,64.7738,9.6898,77.4977,107.2994,75.4734,287.1668,299.2615,24.8971,305.2037,286.2164,Mercury conj Mars; Venus opp Jupiter
144,1995,Engineer,50.1045,109.0198,36.2547,16.9022,152.3261,135.7167,161.664,215.2562,209.6078,192.3723,Sun sq Jupiter; Moon sq Venus
145,1993,Physician,195.7123,284.6595,187.8459,233.6804,193.2862,229.7449,30.5935,276.8235,236.7366,127.8032,Sun sq Moon; Sun conj Mercury; Sun conj Mars; Moon sq Mars; Mercury conj Mars; Venus conj Jupiter
146,2000,Scientist,220.564,202.7593,228.6858,234.6514,348.052,119.3748,286.6432,38.14,35.4984,79.9204,Mercury conj Venus
147,1996,Pilot,200.8776,247.5592,185.2554,188.7931,166.7028,244.64,248.5574,54.2682,359.173,173.7976,Moon conj Jupiter; Moon conj Saturn; Mercury conj Venus; Jupiter conj Saturn
